Round/Pick,Team,Amount,Player,Player Team,Player Position
1.1,Bud Lights,54,"Henry, Derrick",TEN,RB
1.2,Stairway to Seven,47,"Kelce, Travis",KCC,TE
1.3,Victorious Secret,60,"Kamara, Alvin",NOS,RB
1.4,Victorious Secret,36,"Hopkins, DeAndre",ARI,WR
1.5,Victorious Secret,43,"Diggs, Stefon",BUF,WR
1.6,Victorious Secret,35,"Jones, Julio",TEN,WR
1.7,Show Me Your TDs!,72,"McCaffrey, Christian",CAR,RB
1.8,Army Math,53,"Barkley, Saquon",NYG,RB
1.9,Da Tits,62,"Cook, Dalvin",MIN,RB
1.1,Stairway to Seven,57,"Hill, Tyreek",KCC,WR
2.1,Bud Lights,55,"Adams, Davante",GBP,WR
2.2,Acute Gronkitis,40,"Mahomes, Patrick",KCC,QB
2.3,Show Me Your TDs!,49,"Elliott, Ezekiel",DAL,RB
2.4,Stairway to Seven,37,"Harris, Najee",PIT,RB
2.5,Victorious Secret,18,"Brady, Tom",TBB,QB
2.6,Acute Gronkitis,47,"Jones, Aaron",GBP,RB
2.7,Brady That!,31,"Kittle, George",SFO,TE
2.8,Army Math,38,"Taylor, Jonathan",IND,RB
2.9,Army Math,32,"Metcalf, DK",SEA,WR
2.1,Army Math,23,"Evans, Mike",TBB,WR
3.1,Brady That!,29,"Jefferson, Justin",MIN,WR
3.2,Show Me Your TDs!,30,"Allen, Josh",BUF,QB
3.3,Acute Gronkitis,42,"Chubb, Nick",CLE,RB
3.4,Lancaster Fightin' Amish,25,"Murray, Kyler",ARI,QB
3.5,Acute Gronkitis,10,"Anderson, Robby",CAR,WR
3.6,Lancaster Fightin' Amish,31,"Waller, Darren",LVR,TE
3.7,GAs Cool Team,15,"Prescott, Dak",DAL,QB
3.8,Acute Gronkitis,32,"Brown, A.J.",TEN,WR
3.9,Da Tits,27,"Jackson, Lamar",BAL,QB
3.1,Bud Lights,3,"Roethlisberger, Ben",PIT,QB
4.1,Bud Lights,14,"Thielen, Adam",MIN,WR
4.2,Lancaster Fightin' Amish,38,"Ekeler, Austin",LAC,RB
4.3,Bud Lights,35,"Mixon, Joe",CIN,RB
4.4,GAs Cool Team,19,"Lamb, CeeDee",DAL,WR
4.5,GAs Cool Team,10,"Chase, Ja'Marr",CIN,WR
4.6,Show Me Your TDs!,38,"Ridley, Calvin",ATL,WR
4.7,Brady That!,29,"Edwards-Helaire, Clyde",KCC,RB
4.8,Da Tits,20,"Moore, D.J.",CAR,WR
4.9,Da Tits,10,"Thomas, Michael",NOS,WR
4.1,Stairway to Seven,16,"Cooper, Amari",DAL,WR
5.1,Bud Lights,17,"Andrews, Mark",BAL,TE
5.2,Stairway to Seven,10,"Herbert, Justin",LAC,QB
5.3,Lancaster Fightin' Amish,11,"Kupp, Cooper",LAR,WR
5.4,GAs Cool Team,26,"Carson, Chris",SEA,RB
5.5,Da Tits,5,"Goedert, Dallas",PHI,TE
5.6,Brady That!,36,"Gibson, Antonio",WAS,RB
5.7,Brady That!,13,"Wilson, Russell",SEA,QB
5.8,Bud Lights,10,"Higgins, Tee",CIN,WR
5.9,Da Tits,24,"Sanders, Miles",PHI,RB
5.1,Brady That!,23,"Montgomery, David",CHI,RB
